Election: 2011 Consolidated
Jurisdiction:  Winnebago
Date:  2011-04-05 00:00:00
Registered Voters:  93360
Ballots Cast:  10395
Voter Turnout:  11
Active Precincts:  108

Election: 2011 Consolidated
Contest: LV PK WD 1 ALDERMAN
Candidate Name,Total Votes,Vote %
FREDERICK L. GRABER (NP), 23, 43.4, 

Contest: PRAIRIE HILL SB MEMBER UNEX
Candidate Name,Total Votes,Vote %
Write-In (NP), 47, 92.16, 
RICHARD W CUSHING (NP), 4, 7.84, 

Contest: PRAIRIE HILL SB MEMBER
Candidate Name,Total Votes,Vote %
JENNIFER K STITT (NP), 242, 29.12, 
NATHAN T BOLIN (NP), 223, 26.84, 
JERROD L BARENBAUM (NP), 183, 22.02, 
DAVID M WRIGHT (NP), 183, 22.02, 

Contest: ROCKTON SB MEMBER
Candidate Name,Total Votes,Vote %
BRENDA WARREN (NP), 689, 29.47, 
LARRY C SCHUBERT (NP), 603, 25.79, 
WILLIAM G MIDGETT (NP), 531, 22.71, 
CHARLES J LIMBERG (NP), 515, 22.03, 

Contest: SHIRLAND SB MEMBER
Candidate Name,Total Votes,Vote %
ANTOINETTE R BROWN (NP), 76, 30.28, 
WILLIAM G DIEMEL (NP), 61, 24.3, 
ROBERT S TWIGG (NP), 60, 23.9, 
NICHOLAS J FELDT (NP), 54, 21.51, 

Contest: DURAND SB MEMBER UNEXPIR
Candidate Name,Total Votes,Vote %
JEFF McCOY (NP), 149, 100, 

Contest: DURAND SB MEMBER Race 440
Candidate Name,Total Votes,Vote %
AMY BURDICK (NP), 144, 100, 

Contest: DURAND SB MEMBER Race 450
Candidate Name,Total Votes,Vote %
SUSAN K KINNEY (NP), 128, 51.2, 
BRAD FAULKNER (NP), 122, 48.8, 

Contest: HARLEM SB MEMBER
Candidate Name,Total Votes,Vote %
HEATHER KELLEY (NP), 1948, 47.83, 
LARRY L BARGER (NP), 1746, 42.87, 
Write-In (NP), 150, 3.68, 
RICHARD KOELKER (NP), 108, 2.65, 
JOSEPH A TERRELL (NP), 97, 2.38, 
RYAN BELL (NP), 24, 0.59, 

Contest: HIAWATHA SB MEMBER UNEXPI
Candidate Name,Total Votes,Vote %
TAMMY HAMRICK (NP), 1, 100, 

Contest: HIAWATHA SB MEMBER Race 479
Candidate Name,Total Votes,Vote %
MARK E. WITTWER (NP), 3, 75, 
ERIC BARON (NP), 1, 25, 
FRANKLIN TOWNSHIP 42 (NP), 0, 0, 
CHRISTINA BADGLEY (NP), 0, 0, 

Contest: HIAWATHA SB MEMBER Race 489
Candidate Name,Total Votes,Vote %
HENRY P.B. BURGWEGER (NP), 3, 75, 
JACK NOVELLI (NP), 1, 25, 

Contest: MERIDIAN SB MEMBER
Candidate Name,Total Votes,Vote %
TIMOTHY FLYNN (NP), 29, 35.8, 
BRUCE LARSON (NP), 28, 34.57, 
JOHN SMITH (NP), 24, 29.63, 

Contest: NORTH BOONE SB MEMBER
Candidate Name,Total Votes,Vote %
DENISE A. BALSLEY (NP), 2, 66.67, 
AMY MORRIS (NP), 1, 33.33, 

Contest: PECATONICA SB MEMBER
Candidate Name,Total Votes,Vote %
DONALD P MILLER (NP), 403, 17.16, 
STEVEN T GORMAN (NP), 381, 16.23, 
SCOTT B HARKER (NP), 378, 16.1, 
KIMBERLY GREENE (NP), 344, 14.65, 
SARAH LAPP (NP), 313, 13.33, 
ELIZABETH L CLARK (NP), 259, 11.03, 
GEORGE K MODICA (NP), 142, 6.05, 
TIMOTHY B PAGE (NP), 128, 5.45, 

Contest: WINNEBAGO SB MEMBER
Candidate Name,Total Votes,Vote %
BRIAN P CRULL (NP), 607, 21.19, 
MICHAEL D LOVE (NP), 504, 17.6, 
DENNIS L DALY (NP), 489, 17.07, 
CHRISTINE K CAMPBELL (NP), 407, 14.21, 
CAROL A FRANCIS (NP), 377, 13.16, 
DUANE LOVETT (NP), 292, 10.2, 
JEFFREY C FINLEY (NP), 188, 6.56, 

Contest: KINNIKINNICK SB MEMBER
Candidate Name,Total Votes,Vote %
STEVEN M STOECKEL (NP), 616, 34.36, 
EDGAR E DIAZ (NP), 594, 33.13, 
SCOTT D RICHARDSON (NP), 583, 32.52, 

Contest: ROCKFORD SB-C MEMBER
Candidate Name,Total Votes,Vote %
KENNETH J SCRIVANO (NP), 202, 38.85, 
JANE HAYES (NP), 167, 32.12, 
ALICE SAUDARGAS (NP), 131, 25.19, 
MICKEY SIMMONS (NP), 20, 3.85, 

Contest: ROCKFORD SB-E MEMBER
Candidate Name,Total Votes,Vote %
ROBERT J EVANS (NP), 169, 100, 

Contest: ROCKFORD SB-G MEMBER
Candidate Name,Total Votes,Vote %
LAURA J POWERS (NP), 357, 50.85, 
BILL NEBLOCK (NP), 321, 45.73, 
TOBY KELLOGG (NP), 24, 3.42, 

Contest: SOUTH BELOIT SB MEMBER
Candidate Name,Total Votes,Vote %
CYNTHIA D DUNAWAY (NP), 465, 26.8, 
SANDRA L PETERSON (NP), 437, 25.19, 
THEODORE A ZIERATH (NP), 428, 24.67, 
SCOTT M BONNET (NP), 405, 23.34, 

Contest: HONONEGAH SB MEMBER
Candidate Name,Total Votes,Vote %
MARY P LEWIS (NP), 1572, 24.89, 
DAVID J KURLINKUS (NP), 1325, 20.98, 
MATTHEW D KENTNER (NP), 1267, 20.06, 
JEFFREY SCHULTZ (NP), 866, 13.71, 
DAVID L BERGERON (NP), 784, 12.41, 
JOHN R SOLE JR (NP), 502, 7.95, 

Contest: KISH COLL TRUSTEE
Candidate Name,Total Votes,Vote %
ROBERT B JOHNSON (NP), 3, 33.33, 
GERALD T FOSTER (NP), 3, 33.33, 
ROBERT L HAMON (NP), 2, 22.22, 
SHEELA P GORAL (NP), 1, 11.11, 

Contest: ROCK VALLEY COLLEGE TRUSTEE
Candidate Name,Total Votes,Vote %
MARY TUITE (NP), 4836, 29.27, 
MICHAEL P. DUNN, JR. (NP), 3632, 21.99, 
LISA MARIE RINALDO (NP), 3179, 19.24, 
KENNETH E COPELAND (NP), 2215, 13.41, 
GLENN O. PATTERSON (NP), 1550, 9.38, 
F. DUANE INGRAM (NP), 1108, 6.71, 

Contest: FIRE 1 TRUSTEE
Candidate Name,Total Votes,Vote %
H DUANE KINNEY (NP), 41, 89.13, 
Write-In (NP), 5, 10.87, 

Contest: PECATONICA FPD TRUSTEE
Candidate Name,Total Votes,Vote %
Write-In (NP), 54, 50.94, 
MERLYN J EICKMAN (NP), 28, 26.42, 
GARELT S STAHL (NP), 24, 22.64, 

Contest: ROCTON FPD TRUSTEE
Candidate Name,Total Votes,Vote %
WILLIAM E CAMPBELL (NP), 733, 53.86, 
BRUCE LANS (NP), 628, 46.14, 

Contest: STILLMAN FPD TRUSTEE Race 650
Candidate Name,Total Votes,Vote %
RICHARD BRASS (NP), 26, 47.27, 
MARY L SCOTT (NP), 17, 30.91, 
MARC WARTMAN (NP), 12, 21.82, 

Contest: STILLMAN FPD TRUSTEE Race 660
Candidate Name,Total Votes,Vote %
CURTIS D WERCKLE (NP), 29, 100, 

Contest: WINN VILL SALES TAX
Candidate Name,Total Votes,Vote %
YES (NP), 329, 68.26, 
NO (NP), 153, 31.74, 

Contest: PEC LIB ANNEXATION Race 680
Candidate Name,Total Votes,Vote %
YES (NP), 502, 81.49, 
NO (NP), 114, 18.51, 

Contest: PEC LIB ANNEXATION Race 690
Candidate Name,Total Votes,Vote %
YES (NP), 11, 91.67, 
NO (NP), 1, 8.33, 

Contest: NP/EBH FPD CONSOLIDATION Race 700
Candidate Name,Total Votes,Vote %
YES (NP), 85, 93.41, 
NO (NP), 6, 6.59, 

Contest: NP/EBH FPD CONSOLIDATION Race 710
Candidate Name,Total Votes,Vote %
YES (NP), 926, 84.57, 
NO (NP), 169, 15.43, 

