




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
Libertyville 176              1226                          145                           11.83%
Libertyville 177              979                           118                           12.05%
Libertyville 178              945                           83                            8.78%
Libertyville 179              1093                          87                            7.96%
Libertyville 180              659                           56                            8.50%
Libertyville 181              1112                          70                            6.29%
Libertyville 182              954                           110                           11.53%
Libertyville 183              972                           109                           11.21%
Libertyville 184              905                           119                           13.15%
Libertyville 185              1118                          139                           12.43%
Libertyville 186              1122                          120                           10.70%
Libertyville 187              1031                          163                           15.81%
Libertyville 188              1093                          98                            8.97%
Libertyville 189              1008                          103                           10.22%
Libertyville 190              1137                          87                            7.65%
Libertyville 191              788                           65                            8.25%
Libertyville 192              1022                          91                            8.90%
Libertyville 193              565                           90                            15.93%
Libertyville 194              732                           81                            11.07%
Libertyville 195              1151                          37                            3.21%
Libertyville 196              429                           35                            8.16%
Libertyville 197              922                           46                            4.99%
Libertyville 198              852                           17                            2.00%
Libertyville 199              724                           36                            4.97%
Libertyville 200              677                           24                            3.55%
Libertyville 201              584                           49                            8.39%
Libertyville 202              167                           16                            9.58%
Moraine 203                   1099                          55                            5.00%
Moraine 204                   1398                          136                           9.73%
Moraine 205                   978                           126                           12.88%
Moraine 206                   1087                          144                           13.25%
Moraine 207                   1189                          156                           13.12%
Moraine 208                   1022                          115                           11.25%
Moraine 209                   1228                          132                           10.75%
Moraine 210                   1201                          148                           12.32%
Moraine 211                   1008                          127                           12.60%
Moraine 212                   1054                          116                           11.01%
Moraine 213                   971                           130                           13.39%
Moraine 214                   971                           149                           15.35%
Moraine 215                   1011                          125                           12.36%
Moraine 216                   888                           128                           14.41%
Moraine 217                   1165                          163                           13.99%
Moraine 218                   928                           175                           18.86%
Moraine 219                   898                           107                           11.92%
Moraine 220                   984                           93                            9.45%
Moraine 221                   789                           95                            12.04%
Moraine 222                   930                           114                           12.26%
Moraine 223                   1092                          154                           14.10%
Moraine 224                   791                           92                            11.63%
Newport 225                   834                           94                            11.27%
Newport 226                   573                           68                            11.87%
Newport 227                   969                           111                           11.46%
Newport 228                   1390                          77                            5.54%
Newport 229                   1008                          139                           13.79%
Shields 230                   777                           84                            10.81%
Shields 231                   1495                          133                           8.90%
Shields 232                   670                           50                            7.46%
Shields 233                   232                           13                            5.60%
Shields 234                   575                           13                            2.26%
Shields 235                   738                           53                            7.18%
Shields 236                   657                           27                            4.11%
Shields 237                   1210                          73                            6.03%
Shields 238                   888                           42                            4.73%
Shields 239                   1100                          50                            4.55%
Shields 240                   905                           59                            6.52%
Shields 241                   1170                          68                            5.81%
Shields 242                   817                           71                            8.69%
Shields 243                   1464                          83                            5.67%
Shields 244                   978                           46                            4.70%
Shields 245                   935                           48                            5.13%
Shields 246                   863                           40                            4.63%
Vernon 247                    949                           32                            3.37%
Vernon 248                    1031                          27                            2.62%
Vernon 249                    1081                          90                            8.33%
Vernon 250                    1117                          71                            6.36%
Vernon 251                    1208                          46                            3.81%
Vernon 252                    1259                          63                            5.00%
Vernon 253                    976                           223                           22.85%
Vernon 254                    767                           52                            6.78%
Vernon 255                    922                           69                            7.48%
Vernon 256                    840                           17                            2.02%
Vernon 257                    804                           41                            5.10%
Vernon 258                    1101                          94                            8.54%
Vernon 259                    1308                          59                            4.51%
Vernon 260                    818                           197                           24.08%
Vernon 261                    1129                          142                           12.58%
Vernon 262                    936                           70                            7.48%
Vernon 263                    1017                          47                            4.62%
Vernon 264                    1016                          34                            3.35%
Vernon 265                    688                           222                           32.27%
Vernon 266                    1108                          164                           14.80%
Vernon 267                    1025                          62                            6.05%
Vernon 268                    1447                          65                            4.49%
Vernon 269                    1237                          62                            5.01%
Vernon 270                    855                           46                            5.38%
Vernon 271                    841                           305                           36.27%
Vernon 272                    900                           134                           14.89%
Vernon 273                    1242                          255                           20.53%
Vernon 274                    943                           178                           18.88%
Vernon 275                    1191                          157                           13.18%
Vernon 276                    980                           119                           12.14%
Vernon 277                    1013                          214                           21.13%
Vernon 278                    855                           232                           27.13%
Vernon 279                    1074                          158                           14.71%
Vernon 280                    1088                          220                           20.22%
Vernon 281                    1216                          103                           8.47%
Vernon 282                    949                           15                            1.58%
Vernon 283                    956                           199                           20.82%
Vernon 284                    948                           117                           12.34%
Vernon 285                    1062                          137                           12.90%
Vernon 286                    1334                          44                            3.30%
Vernon 287                    1140                          98                            8.60%
Warren 288                    1071                          159                           14.85%
Warren 289                    793                           32                            4.04%
Warren 290                    670                           68                            10.15%
Warren 291                    721                           100                           13.87%
Warren 292                    1086                          163                           15.01%
Warren 293                    1217                          201                           16.52%
Warren 294                    880                           135                           15.34%
Warren 295                    969                           81                            8.36%
Warren 296                    893                           113                           12.65%
Warren 297                    1056                          124                           11.74%
Warren 298                    1152                          111                           9.64%
Warren 299                    897                           60                            6.69%
Warren 300                    849                           43                            5.06%
Warren 301                    940                           85                            9.04%
Warren 302                    766                           93                            12.14%
Warren 303                    707                           110                           15.56%
Warren 304                    730                           141                           19.32%
Warren 305                    885                           98                            11.07%
Warren 306                    975                           93                            9.54%
Warren 307                    867                           55                            6.34%
Warren 308                    1073                          143                           13.33%
Warren 309                    919                           126                           13.71%
Warren 310                    1160                          168                           14.48%
Warren 311                    900                           110                           12.22%
Warren 312                    1032                          148                           14.34%
Warren 313                    965                           94                            9.74%
Warren 314                    801                           79                            9.86%
Warren 315                    1203                          261                           21.70%
Warren 316                    1213                          293                           24.15%
Warren 317                    1116                          202                           18.10%
Warren 318                    1325                          162                           12.23%
Warren 319                    1010                          186                           18.42%
Warren 320                    1033                          131                           12.68%
Warren 321                    910                           109                           11.98%
Warren 322                    1009                          177                           17.54%
Warren 323                    386                           103                           26.68%
Warren 324                    1132                          227                           20.05%
Warren 325                    1171                          116                           9.91%
Warren 326                    1172                          59                            5.03%
Warren 327                    1018                          44                            4.32%
Wauconda 328                  520                           27                            5.19%
Wauconda 329                  1397                          264                           18.90%
Wauconda 330                  1000                          163                           16.30%
Wauconda 331                  556                           56                            10.07%
Wauconda 332                  705                           96                            13.62%
Wauconda 333                  735                           144                           19.59%
Wauconda 334                  804                           136                           16.92%
Wauconda 335                  812                           82                            10.10%
Wauconda 336                  876                           191                           21.80%
Wauconda 337                  958                           150                           15.66%
Wauconda 338                  1079                          211                           19.56%
Wauconda 339                  1034                          195                           18.86%
Wauconda 340                  809                           21                            2.60%
Wauconda 341                  717                           121                           16.88%
Wauconda 342                  993                           80                            8.06%
Waukegan 343                  668                           46                            6.89%
Waukegan 344                  1099                          165                           15.01%
Waukegan 345                  903                           95                            10.52%
Waukegan 346                  1036                          85                            8.20%
Waukegan 347                  636                           151                           23.74%
Waukegan 348                  1196                          100                           8.36%
Waukegan 349                  1083                          119                           10.99%
Waukegan 350                  1113                          202                           18.15%
Waukegan 351                  1093                          87                            7.96%
Waukegan 352                  888                           100                           11.26%
Waukegan 353                  988                           100                           10.12%
Waukegan 354                  828                           78                            9.42%
Waukegan 355                  886                           275                           31.04%
Waukegan 356                  1420                          90                            6.34%
Waukegan 357                  1287                          149                           11.58%
Waukegan 358                  980                           111                           11.33%
Waukegan 359                  1172                          338                           28.84%
Waukegan 360                  1116                          190                           17.03%
Waukegan 361                  1033                          179                           17.33%
Waukegan 362                  862                           71                            8.24%
Waukegan 363                  1205                          151                           12.53%
Waukegan 364                  1135                          143                           12.60%
Waukegan 365                  974                           107                           10.99%
Waukegan 366                  1108                          138                           12.45%
Waukegan 367                  863                           96                            11.12%
Waukegan 368                  856                           42                            4.91%
Waukegan 369                  794                           63                            7.93%
Waukegan 370                  1186                          87                            7.34%
Waukegan 371                  1049                          65                            6.20%
Waukegan 372                  1184                          142                           11.99%
Waukegan 373                  1166                          98                            8.40%
Waukegan 374                  1503                          130                           8.65%
Waukegan 375                  1236                          69                            5.58%
Waukegan 376                  933                           28                            3.00%
Waukegan 377                  696                           52                            7.47%
Waukegan 378                  751                           71                            9.45%
Waukegan 379                  875                           80                            9.14%
West Deerfield 380            900                           38                            4.22%
West Deerfield 381            780                           27                            3.46%
West Deerfield 382            857                           44                            5.13%
West Deerfield 383            788                           25                            3.17%
West Deerfield 384            876                           61                            6.96%
West Deerfield 385            815                           46                            5.64%
West Deerfield 386            694                           27                            3.89%
West Deerfield 387            1206                          106                           8.79%
West Deerfield 388            825                           112                           13.58%
West Deerfield 389            1107                          144                           13.01%
West Deerfield 390            700                           70                            10.00%
West Deerfield 391            1116                          199                           17.83%
West Deerfield 392            1219                          224                           18.38%
West Deerfield 393            925                           135                           14.59%
West Deerfield 394            963                           164                           17.03%
West Deerfield 395            1243                          183                           14.72%
West Deerfield 396            1206                          206                           17.08%
West Deerfield 397            783                           101                           12.90%
West Deerfield 398            1173                          192                           16.37%
West Deerfield 399            1351                          260                           19.25%
West Deerfield 400            1292                          194                           15.02%
West Deerfield 401            992                           88                            8.87%
West Deerfield 402            883                           135                           15.29%
Zion 403                      1041                          150                           14.41%
Zion 404                      872                           137                           15.71%
Zion 405                      950                           127                           13.37%
Zion 406                      1059                          191                           18.04%
Zion 407                      874                           112                           12.81%
Zion 408                      976                           117                           11.99%
Zion 409                      1440                          214                           14.86%
Zion 410                      994                           204                           20.52%
Zion 411                      870                           156                           17.93%
Zion 412                      1164                          204                           17.53%
Zion 413                      797                           127                           15.93%
Zion 414                      991                           266                           26.84%
Zion 415                      1172                          204                           17.41%
Total:                        407415                        46296                         11.36%

                                                                                                                                                                                                                                                                                                                             Village of Antioch Trustee (Vote For 3)
                                                            Mary C. Dominiak                                                                                                                                      Ed Macek                                                                                                                                              James Jozwiak                                                                                                                                         Dennis B. Crosby                                                                                                                                      
Precinct                      Registered Voters             Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Total                         
Antioch 2                     1204                          62                            15                            4                             1                             82                            50                            13                            2                             0                             65                            53                            15                            4                             0                             72                            44                            7                             3                             0                             54                            273                           
Antioch 3                     1127                          115                           21                            3                             0                             139                           81                            13                            2                             0                             96                            91                            22                            1                             0                             114                           61                            8                             1                             0                             70                            419                           
Antioch 4                     1052                          146                           58                            11                            1                             216                           115                           54                            11                            1                             181                           131                           50                            18                            1                             200                           83                            35                            10                            0                             128                           725                           
Antioch 5                     1089                          122                           52                            12                            0                             186                           102                           41                            13                            1                             157                           100                           37                            16                            0                             153                           87                            46                            10                            0                             143                           639                           
